Problem 2.3

Time (s)	Velocity With Air Drag
6.5		11.4368
6.51		11.4383
6.52		11.4399
6.53		11.4414
6.54		11.443
6.55		11.4445
6.56		11.4461
6.57		11.4476
6.58		11.4492
6.59		11.4507
6.6		11.4523
6.61		11.4538
6.62		11.4554
6.63		11.4569
6.64		11.4584
6.65		11.46
6.66		11.4615
6.67		11.463
6.68		11.4646
6.69		11.4661
6.7		11.4676
6.71		11.4692
6.72		11.4707
6.73		11.4722
6.74		11.4737
6.75		11.4753
6.76		11.4768
6.77		11.4783
6.78		11.4798
6.79		11.4813
6.8		11.4829
6.81		11.4844
6.82		11.4859
6.83		11.4874
6.84		11.4889
6.85		11.4904
6.86		11.4919
6.87		11.4934
6.88		11.4949
6.89		11.4964
6.9		11.4979
6.91		11.4994
6.92		11.5009
6.93		11.5024
6.94		11.5039
6.95		11.5054
6.96		11.5069
6.97		11.5084
6.98		11.5099
6.99		11.5113
7		11.5128
7.01		11.5143
7.02		11.5158
7.03		11.5173
7.04		11.5187
7.05		11.5202
7.06		11.5217
7.07		11.5232
7.08		11.5246
7.09		11.5261
7.1		11.5276
7.11		11.5291
7.12		11.5305
7.13		11.532
7.14		11.5334
7.15		11.5349
7.16		11.5364
7.17		11.5378
7.18		11.5393
7.19		11.5407
7.2		11.5422
7.21		11.5436
7.22		11.5451
7.23		11.5466
7.24		11.548
7.25		11.5494
7.26		11.5509
7.27		11.5523
7.28		11.5538
7.29		11.5552
7.3		11.5567
7.31		11.5581
7.32		11.5595
7.33		11.561
7.34		11.5624
7.35		11.5638
7.36		11.5653
7.37		11.5667
7.38		11.5681
7.39		11.5696
7.4		11.571
7.41		11.5724
7.42		11.5738
7.43		11.5753
7.44		11.5767
7.45		11.5781
7.46		11.5795
7.47		11.5809
7.48		11.5823
7.49		11.5838
7.5		11.5852
7.51		11.5866
7.52		11.588
7.53		11.5894
7.54		11.5908
7.55		11.5922
7.56		11.5936
7.57		11.595
7.58		11.5964
7.59		11.5978
7.6		11.5992
7.61		11.6006
7.62		11.602
7.63		11.6034
7.64		11.6048
7.65		11.6062
7.66		11.6076
7.67		11.609
7.68		11.6103
7.69		11.6117
7.7		11.6131
7.71		11.6145
7.72		11.6159
7.73		11.6173
7.74		11.6186
7.75		11.62
7.76		11.6214
7.77		11.6228
7.78		11.6241
7.79		11.6255
7.8		11.6269
7.81		11.6282
7.82		11.6296
7.83		11.631
7.84		11.6323
7.85		11.6337
7.86		11.6351
7.87		11.6364
7.88		11.6378
7.89		11.6391
7.9		11.6405
7.91		11.6419
7.92		11.6432
7.93		11.6446
7.94		11.6459
7.95		11.6473
7.96		11.6486
7.97		11.65
7.98		11.6513
7.99		11.6526
8		11.654
8.01		11.6553
8.02		11.6567
8.03		11.658
8.04		11.6593
8.05		11.6607
8.06		11.662
8.07		11.6633
8.08		11.6647
8.09		11.666
8.1		11.6673
8.11		11.6687
8.12		11.67
8.13		11.6713
8.14		11.6726
8.15		11.674
8.16		11.6753
8.17		11.6766
8.18		11.6779
8.19		11.6792
8.2		11.6806
8.21		11.6819
8.22		11.6832
8.23		11.6845
8.24		11.6858
8.25		11.6871
8.26		11.6884
8.27		11.6897
8.28		11.691
8.29		11.6924
8.3		11.6937
8.31		11.695
8.32		11.6963
8.33		11.6976
8.34		11.6989
8.35		11.7002
8.36		11.7014
8.37		11.7027
8.38		11.704
8.39		11.7053
8.4		11.7066
8.41		11.7079
8.42		11.7092
8.43		11.7105
8.44		11.7118
8.45		11.7131
8.46		11.7143
8.47		11.7156
8.48		11.7169
8.49		11.7182
8.5		11.7195
8.51		11.7207
8.52		11.722
8.53		11.7233
8.54		11.7245
8.55		11.7258
8.56		11.7271
8.57		11.7284
8.58		11.7296
8.59		11.7309
8.6		11.7322
8.61		11.7334
8.62		11.7347
8.63		11.7359
8.64		11.7372
8.65		11.7385
8.66		11.7397
8.67		11.741
8.68		11.7422
8.69		11.7435
8.7		11.7447
8.71		11.746
8.72		11.7472
8.73		11.7485
8.74		11.7497
8.75		11.751
8.76		11.7522
8.77		11.7535
8.78		11.7547
8.79		11.756
8.8		11.7572
8.81		11.7584
8.82		11.7597
8.83		11.7609
8.84		11.7621
