Problem 2.3

Time (s)	Velocity with Water Drag
0.665		0.805577
0.666		0.804929
0.667		0.804284
0.668		0.803641
0.669		0.803002
0.67		0.802364
0.671		0.80173
0.672		0.801098
0.673		0.800469
0.674		0.799842
0.675		0.799218
0.676		0.798597
0.677		0.797978
0.678		0.797362
0.679		0.796748
0.68		0.796137
0.681		0.795528
0.682		0.794922
0.683		0.794318
0.684		0.793717
0.685		0.793119
0.686		0.792523
0.687		0.791929
0.688		0.791338
0.689		0.79075
0.69		0.790163
0.691		0.78958
0.692		0.788998
0.693		0.788419
0.694		0.787843
0.695		0.787269
0.696		0.786697
0.697		0.786128
0.698		0.78556
0.699		0.784996
0.7		0.784433
0.701		0.783873
0.702		0.783316
0.703		0.78276
0.704		0.782207
0.705		0.781656
0.706		0.781108
0.707		0.780562
0.708		0.780018
0.709		0.779476
0.71		0.778936
0.711		0.778399
0.712		0.777864
0.713		0.777331
0.714		0.776801
0.715		0.776272
0.716		0.775746
0.717		0.775222
0.718		0.7747
0.719		0.77418
0.72		0.773662
0.721		0.773147
0.722		0.772633
0.723		0.772122
0.724		0.771613
0.725		0.771106
0.726		0.770601
0.727		0.770098
0.728		0.769597
0.729		0.769098
0.73		0.768601
0.731		0.768107
0.732		0.767614
0.733		0.767123
0.734		0.766635
0.735		0.766148
0.736		0.765664
0.737		0.765181
0.738		0.7647
0.739		0.764222
0.74		0.763745
0.741		0.76327
0.742		0.762797
0.743		0.762327
0.744		0.761858
0.745		0.761391
0.746		0.760926
0.747		0.760462
0.748		0.760001
0.749		0.759542
0.75		0.759084
0.751		0.758628
0.752		0.758175
0.753		0.757723
0.754		0.757273
0.755		0.756825
0.756		0.756378
0.757		0.755934
0.758		0.755491
0.759		0.75505
0.76		0.754611
0.761		0.754173
0.762		0.753738
0.763		0.753304
0.764		0.752872
0.765		0.752442
0.766		0.752014
0.767		0.751587
0.768		0.751162
0.769		0.750739
0.77		0.750317
0.771		0.749897
0.772		0.749479
0.773		0.749063
0.774		0.748648
0.775		0.748235
0.776		0.747824
0.777		0.747414
0.778		0.747006
0.779		0.7466
0.78		0.746196
0.781		0.745793
0.782		0.745391
0.783		0.744992
0.784		0.744594
0.785		0.744197
0.786		0.743802
0.787		0.743409
0.788		0.743017
0.789		0.742627
0.79		0.742239
0.791		0.741852
0.792		0.741467
0.793		0.741083
0.794		0.740701
0.795		0.74032
0.796		0.739941
0.797		0.739564
0.798		0.739188
0.799		0.738814
0.8		0.738441
0.801		0.738069
0.802		0.737699
0.803		0.737331
0.804		0.736964
0.805		0.736599
0.806		0.736235
0.807		0.735872
0.808		0.735511
0.809		0.735152
0.81		0.734794
0.811		0.734437
0.812		0.734082
0.813		0.733729
0.814		0.733376
0.815		0.733026
0.816		0.732676
0.817		0.732328
0.818		0.731982
0.819		0.731636
0.82		0.731293
0.821		0.73095
0.822		0.730609
0.823		0.73027
0.824		0.729932
0.825		0.729595
0.826		0.729259
0.827		0.728925
0.828		0.728592
0.829		0.728261
0.83		0.727931
0.831		0.727602
0.832		0.727275
0.833		0.726949
0.834		0.726624
0.835		0.7263
0.836		0.725978
0.837		0.725658
0.838		0.725338
0.839		0.72502
0.84		0.724703
0.841		0.724387
0.842		0.724073
0.843		0.72376
0.844		0.723448
0.845		0.723137
0.846		0.722828
0.847		0.72252
0.848		0.722213
0.849		0.721908
0.85		0.721603
0.851		0.7213
0.852		0.720998
0.853		0.720698
0.854		0.720398
0.855		0.7201
0.856		0.719803
0.857		0.719507
0.858		0.719212
0.859		0.718919
0.86		0.718627
0.861		0.718336
0.862		0.718046
0.863		0.717757
0.864		0.717469
0.865		0.717183
0.866		0.716898
0.867		0.716614
0.868		0.716331
0.869		0.716049
0.87		0.715768
0.871		0.715489
0.872		0.71521
0.873		0.714933
0.874		0.714657
0.875		0.714382
0.876		0.714108
0.877		0.713835
0.878		0.713563
0.879		0.713293
0.88		0.713023
0.881		0.712755
0.882		0.712487
0.883		0.712221
0.884		0.711956
0.885		0.711692
0.886		0.711429
0.887		0.711167
0.888		0.710906
0.889		0.710646
0.89		0.710387
0.891		0.710129
0.892		0.709872
0.893		0.709617
0.894		0.709362
0.895		0.709108
0.896		0.708856
0.897		0.708604
0.898		0.708353
0.899		0.708104
0.9		0.707855
0.901		0.707607
0.902		0.707361
0.903		0.707115
0.904		0.706871
0.905		0.706627
0.906		0.706384
0.907		0.706143
0.908		0.705902
0.909		0.705662
0.91		0.705423
0.911		0.705186
0.912		0.704949
0.913		0.704713
0.914		0.704478
0.915		0.704244
0.916		0.704011
0.917		0.703779
0.918		0.703548
0.919		0.703317
0.92		0.703088
0.921		0.70286
0.922		0.702632
0.923		0.702406
0.924		0.70218
0.925		0.701955
0.926		0.701731
0.927		0.701508
0.928		0.701286
0.929		0.701065
0.93		0.700845
0.931		0.700625
0.932		0.700407
0.933		0.700189
0.934		0.699973
0.935		0.699757
0.936		0.699542
0.937		0.699328
0.938		0.699114
0.939		0.698902
0.94		0.69869
0.941		0.69848
0.942		0.69827
0.943		0.698061
0.944		0.697853
0.945		0.697645
0.946		0.697439
0.947		0.697233
0.948		0.697028
0.949		0.696824
0.95		0.696621
0.951		0.696419
0.952		0.696217
0.953		0.696016
0.954		0.695816
0.955		0.695617
0.956		0.695419
0.957		0.695221
0.958		0.695024
0.959		0.694828
0.96		0.694633
0.961		0.694439
0.962		0.694245
0.963		0.694052
0.964		0.69386
0.965		0.693669
0.966		0.693479
0.967		0.693289
0.968		0.6931
0.969		0.692911
0.97		0.692724
0.971		0.692537
0.972		0.692351
0.973		0.692166
0.974		0.691982
0.975		0.691798
0.976		0.691615
0.977		0.691433
0.978		0.691251
0.979		0.69107
0.98		0.69089
0.981		0.690711
0.982		0.690532
0.983		0.690354
0.984		0.690177
0.985		0.69
0.986		0.689825
0.987		0.68965
0.988		0.689475
0.989		0.689301
0.99		0.689128
0.991		0.688956
0.992		0.688785
0.993		0.688614
0.994		0.688443
0.995		0.688274
0.996		0.688105
0.997		0.687937
0.998		0.687769
0.999		0.687602
1		0.687436
1.001		0.687271
1.002		0.687106
1.003		0.686942
1.004		0.686778
1.005		0.686615
1.006		0.686453
1.007		0.686292
1.008		0.686131
1.009		0.68597
1.01		0.685811
1.011		0.685652
1.012		0.685493
1.013		0.685336
1.014		0.685179
1.015		0.685022
1.016		0.684866
1.017		0.684711
1.018		0.684557
1.019		0.684403
1.02		0.684249
1.021		0.684097
1.022		0.683945
1.023		0.683793
1.024		0.683642
1.025		0.683492
1.026		0.683342
1.027		0.683193
1.028		0.683045
1.029		0.682897
1.03		0.682749
1.031		0.682603
1.032		0.682457
1.033		0.682311
1.034		0.682166
1.035		0.682022
1.036		0.681878
1.037		0.681735
1.038		0.681592
1.039		0.68145
1.04		0.681309
1.041		0.681168
1.042		0.681027
1.043		0.680887
1.044		0.680748
1.045		0.68061
1.046		0.680471
1.047		0.680334
1.048		0.680197
1.049		0.68006
1.05		0.679924
1.051		0.679789
1.052		0.679654
1.053		0.67952
1.054		0.679386
1.055		0.679253
1.056		0.67912
1.057		0.678988
1.058		0.678856
1.059		0.678725
1.06		0.678595
1.061		0.678465
1.062		0.678335
1.063		0.678206
1.064		0.678078
1.065		0.67795
1.066		0.677822
1.067		0.677695
1.068		0.677569
1.069		0.677443
1.07		0.677318
1.071		0.677193
1.072		0.677068
